Элемент массива                Время в миллисекундах          Количество операций
-1091462840                    700                            12                            
-788215651                     600                            21                            
-1715359516                    501                            13                            
-422976953                     699                            11                            
853628479                      500                            10                            
-105280756                     700                            14                            
1498202947                     701                            11                            
-114717699                     800                            18                            
-1644067428                    500                            21                            
1180496543                     1100                           19                            
-110776531                     500                            13                            
1511386473                     1000                           14                            
-1425337017                    699                            18                            
1671570315                     600                            8                             
1386783747                     1000                           18                            
-1823180890                    600                            14                            
-387268569                     701                            10                            
-1989340838                    600                            14                            
-857028219                     700                            19                            
710995932                      1000                           18                            
-78194508                      499                            13                            
-687163410                     500                            14                            
773070472                      900                            9                             
-684262935                     500                            18                            
140421321                      600                            13                            
-121282363                     400                            12                            
590089959                      800                            12                            
39266621                       600                            14                            
938441406                      1200                           10                            
-1339983747                    1000                           21                            
935654582                      700                            12                            
-409879547                     500                            16                            
1702404022                     700                            10                            
-2116831077                    499                            17                            
-1979582275                    501                            16                            
119497867                      700                            10                            
-325515468                     700                            20                            
-431380089                     300                            15                            
1832257060                     901                            13                            
-197999396                     399                            18                            
-2057946124                    500                            16                            
1604960474                     600                            11                            
-1043217046                    2000                           27                            
-2051833686                    500                            16                            
1275451896                     700                            12                            
-893345828                     600                            16                            
-1438526821                    600                            11                            
-1921119884                    900                            17                            
-2112892448                    500                            19                            
-475711928                     701                            18                            
-2135055678                    500                            18                            
-2104391453                    400                            18                            
272698750                      1200                           17                            
322293073                      1200                           20                            
1293601947                     701                            10                            
-1656255113                    701                            16                            
-288667223                     500                            17                            
1009532649                     500                            10                            
717203597                      400                            15                            
1212636514                     600                            15                            
-74958511                      800                            16                            
-173548224                     499                            15                            
17529814                       701                            14                            
664867763                      499                            12                            
1910719956                     499                            7                             
-1041248630                    600                            21                            
54108935                       600                            10                            
1603988407                     499                            12                            
-1171357553                    999                            14                            
-1290215163                    1200                           21                            
-1289195597                    800                            15                            
-394436965                     501                            10                            
89954742                       700                            10                            
811998010                      1000                           14                            
-1547457181                    1301                           17                            
844166998                      501                            9                             
-1620905880                    599                            19                            
1324059778                     1000                           13                            
794689996                      600                            15                            
-582287163                     900                            16                            
-618393603                     1101                           17                            
1383014859                     499                            16                            
1933810755                     600                            11                            
-137072105                     600                            15                            
1475620514                     600                            10                            
1492877980                     600                            11                            
-2021398416                    500                            19                            
-873939605                     700                            16                            
1473151272                     400                            13                            
408238678                      899                            14                            
1872181314                     900                            12                            
1900045494                     1000                           13                            
929789976                      701                            12                            
-1597853253                    501                            15                            
828414242                      400                            12                            
-493520662                     600                            19                            
1943353866                     301                            5                             
-1063535436                    1299                           28                            
-614774678                     600                            19                            
1754163028                     800                            17                            
890826550                      600                            8                             
1612562510                     701                            15                            
-1144620264                    400                            9                             
-1631733435                    2200                           21                            
411611723                      600                            17                            
-1186089723                    499                            11                            
1218014398                     600                            13                            
-588535308                     700                            17                            
132856447                      699                            12                            
-327055035                     699                            17                            
372566461                      800                            14                            
1120450210                     900                            21                            
-1154247961                    401                            12                            
599697453                      501                            12                            
140953778                      2100                           11                            
1148620031                     600                            18                            
288125704                      899                            13                            
1169402005                     499                            15                            
-1448671441                    500                            11                            
1162279884                     500                            15                            
-1909977939                    1299                           18                            
1894738002                     500                            8                             
1052605869                     600                            14                            
1374079425                     1000                           15                            
-276929798                     901                            12                            
-380102728                     899                            23                            
-327524671                     400                            18                            
1311020720                     1000                           19                            
481394369                      501                            11                            
1627978080                     800                            11                            
-1189415538                    901                            12                            
987900649                      600                            12                            
-1531964397                    700                            14                            
719706666                      600                            12                            
-1365813382                    900                            14                            
-2000627488                    900                            17                            
203713818                      701                            15                            
-861960827                     600                            14                            
766311716                      700                            11                            
-1845504755                    800                            18                            
843492902                      500                            10                            
-271271443                     701                            12                            
373651093                      700                            18                            
1275963411                     500                            12                            
159827717                      700                            9                             
45048245                       699                            14                            
-1206407499                    400                            12                            
1706827556                     400                            7                             
1909695894                     600                            9                             
404100102                      600                            17                            
693465599                      900                            13                            
1545100962                     600                            13                            
-1601536608                    1300                           21                            
847651366                      499                            13                            
1075719288                     701                            9                             
2078210826                     899                            10                            
-1217250849                    400                            17                            
187348221                      1100                           11                            
-913632547                     701                            16                            
1386101773                     701                            17                            
-707499424                     900                            19                            
1292484309                     400                            12                            
-172479717                     400                            14                            
790031871                      1301                           15                            
2114339854                     699                            11                            
-630733471                     900                            14                            
1047586819                     600                            13                            
244213108                      800                            14                            
-473332341                     800                            17                            
84920320                       600                            15                            
895372349                      1200                           19                            
-1429563096                    800                            18                            
-166308541                     701                            17                            
691848770                      499                            18                            
-1040201603                    1800                           21                            
1687909919                     600                            12                            
1717333183                     400                            6                             
448178858                      701                            15                            
-157857547                     399                            14                            
-10300915                      700                            9                             
-782555850                     600                            21                            
-1802723915                    800                            16                            
147072522                      600                            7                             
-1388404745                    600                            14                            
-1751828119                    1200                           15                            
-369949413                     700                            21                            
1578101833                     600                            14                            
-812692711                     699                            11                            
241062064                      700                            11                            
-1570000044                    800                            16                            
1768632220                     699                            19                            
919493642                      499                            15                            
-70408369                      499                            13                            
1220741981                     600                            13                            
734518712                      600                            14                            
625462302                      800                            12                            
-658348019                     1200                           17                            
1540693179                     700                            17                            
451003353                      400                            13                            
344632075                      800                            15                            
31165191                       501                            16                            
498727872                      599                            18                            
-2061681743                    700                            20                            
1401682638                     700                            13                            
-871477823                     499                            16                            
-1842816500                    600                            17                            
-76598371                      600                            14                            
1036051919                     800                            6                             
-1465673603                    900                            12                            
-1143626922                    699                            13                            
163644953                      499                            12                            
-1474055357                    500                            12                            
135652560                      500                            12                            
2055545452                     1101                           14                            
1987433590                     1299                           17                            
1919491537                     600                            7                             
818837873                      1100                           12                            
-53480840                      500                            12                            
970873034                      800                            14                            
383905911                      501                            12                            
-1889923245                    600                            23                            
-1186152316                    501                            12                            
1774412583                     600                            14                            
-455144017                     800                            14                            
1050293238                     1700                           15                            
1197383999                     499                            12                            
-218204658                     600                            10                            
-164870963                     600                            15                            
1492778234                     600                            12                            
812416769                      399                            12                            
1587230245                     700                            13                            
983079338                      500                            12                            
-1795038987                    499                            15                            
722658316                      501                            14                            
812884264                      400                            12                            
1523114630                     900                            18                            
1494206853                     500                            13                            
-483285740                     499                            16                            
98844701                       701                            10                            
268165162                      600                            12                            
-1061834072                    600                            22                            
-3461120                       600                            12                            
1263847627                     500                            16                            
-1623903155                    1601                           21                            
-2087556278                    800                            24                            
180585202                      499                            9                             
-1440423316                    800                            13                            
-843654600                     800                            14                            
-1633858785                    500                            18                            
48828292                       901                            17                            
-1387003487                    800                            14                            
688326060                      699                            16                            
1997992371                     500                            13                            
110235221                      800                            14                            
892768165                      699                            9                             
1211796483                     600                            19                            
-1495375170                    499                            18                            
-1061353789                    300                            22                            
1224331461                     400                            12                            
-1927660652                    699                            18                            
235606972                      800                            14                            
743149305                      800                            16                            
2061188623                     500                            9                             
1413203292                     400                            12                            
1252114109                     501                            12                            
886736939                      400                            10                            
823084617                      500                            15                            
-913498919                     600                            16                            
-1908208007                    400                            13                            
-1691657440                    1400                           22                            
-1264670172                    600                            16                            
895185465                      600                            18                            
-2146404441                    600                            24                            
-263849744                     800                            14                            
1480648625                     600                            11                            
1791830708                     700                            12                            
-1879780466                    899                            24                            
515089423                      701                            15                            
2125293844                     20300                          11                            
-1906803915                    400                            13                            
-851210277                     1099                           18                            
-1062287991                    501                            24                            
-649827722                     1101                           16                            
389450047                      901                            12                            
-25524299                      800                            11                            
-584822130                     600                            12                            
814467904                      600                            12                            
1148007950                     600                            19                            
-1071654386                    1400                           15                            
-936933839                     1701                           24                            
655048325                      800                            13                            
721942524                      500                            15                            
-965324484                     500                            17                            
104919916                      1101                           15                            
534154943                      1200                           16                            
-1715837402                    499                            15                            
-967299129                     2200                           23                            
-1324469401                    900                            11                            
734783677                      400                            14                            
-995272113                     600                            21                            
-567183740                     400                            10                            
-147344391                     600                            14                            
913793500                      700                            12                            
-1662923517                    900                            19                            
-972032030                     400                            20                            
-1374262674                    700                            15                            
-1393808011                    500                            14                            
-542978049                     1400                           21                            
1448135811                     999                            14                            
1354460811                     600                            12                            
1224160661                     400                            13                            
-298693936                     800                            12                            
-1395131122                    400                            16                            
1118290382                     600                            15                            
1091963635                     1300                           12                            
-495821383                     400                            13                            
171472195                      600                            12                            
1285736185                     899                            13                            
-992452578                     500                            20                            
-989360423                     500                            20                            
1744802895                     899                            12                            
1677864401                     1000                           14                            
-989756426                     400                            21                            
1385047437                     600                            14                            
1488514657                     1200                           15                            
949901091                      1600                           19                            
-1574793380                    800                            19                            
306141203                      800                            20                            
1584665468                     500                            15                            
1608152327                     400                            10                            
-2101528020                    700                            20                            
923348847                      600                            15                            
115306382                      501                            13                            
1540877160                     899                            16                            
-24474773                      500                            11                            
-1763293807                    700                            20                            
-1851222078                    1200                           20                            
425768130                      1200                           11                            
780130493                      600                            15                            
292602295                      1000                           10                            
268671250                      700                            11                            
-1249063123                    699                            15                            
1809828121                     600                            9                             
-931252464                     600                            17                            
4201503                        800                            21                            
-1713179237                    500                            13                            
1934380735                     800                            8                             
977815970                      1800                           17                            
-1351847356                    901                            12                            
-218814115                     1200                           12                            
-961950616                     701                            17                            
1719680364                     800                            18                            
-1032593432                    800                            22                            
-1501704213                    1100                           12                            
150133183                      600                            16                            
-588655666                     1000                           15                            
1629927443                     700                            10                            
-1291163420                    1300                           14                            
1562336016                     800                            16                            
-1224991959                    800                            20                            
-1653596861                    2199                           18                            
143466579                      2200                           9                             
876142654                      701                            10                            
-993192766                     500                            22                            
-253330560                     1301                           15                            
-1359036109                    800                            15                            
1239514874                     800                            11                            
2054640875                     1000                           12                            
2015432622                     1000                           16                            
2060373045                     299                            10                            
556899377                      800                            11                            
-1401487004                    600                            14                            
-284291039                     501                            15                            
-1502103873                    700                            13                            
690247878                      900                            16                            
-915549698                     1099                           17                            
824855158                      600                            13                            
-1184262600                    800                            11                            
-1089366655                    1200                           10                            
-996935807                     501                            25                            
221530784                      600                            15                            
-19022974                      700                            10                            
-1171275194                    900                            13                            
940969167                      700                            11                            
-754819263                     701                            23                            
122290888                      600                            14                            
-1543050103                    600                            18                            
-1208060344                    700                            17                            
-188477638                     701                            14                            
-581772423                     900                            16                            
-1839087359                    1900                           24                            
-817179792                     900                            18                            
141350021                      299                            10                            
-1752740717                    501                            15                            
115373211                      400                            13                            
-2018220337                    800                            19                            
596586561                      1000                           13                            
589461796                      400                            13                            
-1038301007                    1600                           25                            
-1547921384                    600                            19                            
13397006                       1600                           21                            
-1379768051                    1301                           19                            
193830523                      800                            15                            
939324557                      500                            13                            
997104795                      600                            9                             
482089481                      1000                           14                            
793497029                      1499                           16                            
382488993                      1101                           17                            
-1459111556                    700                            12                            
-189719315                     400                            16                            
1992372962                     1100                           14                            
1849751006                     800                            15                            
-79045056                      600                            16                            
-477412560                     1600                           19                            
1952851936                     901                            13                            
380759049                      400                            16                            
989464770                      400                            13                            
2118590638                     800                            9                             
1547754748                     800                            16                            
-849877885                     1300                           22                            
-920655681                     1700                           21                            
1799251368                     499                            10                            
1176323160                     800                            20                            
97536241                       700                            12                            
-1431661399                    800                            21                            
489641231                      800                            17                            
-2102688533                    1200                           20                            
340485663                      600                            13                            
1307260858                     901                            18                            
-212935935                     700                            22                            
-1122096968                    1300                           14                            
1264111649                     900                            17                            
1707347275                     800                            7                             
1267140499                     1400                           15                            
113277506                      600                            15                            
-1043110725                    1200                           23                            
628833637                      1000                           11                            
500953553                      501                            15                            
1687209278                     600                            11                            
-241135614                     701                            14                            
788950680                      1400                           15                            
-1626519806                    600                            19                            
1064398474                     800                            7                             
1158461250                     499                            18                            
228401419                      3299                           15                            
1026230831                     1000                           12                            
-1723918499                    2000                           16                            
550039074                      900                            15                            
-1666373932                    2699                           22                            
-549959706                     1500                           19                            
55132096                       1601                           18                            
-1842587130                    501                            18                            
1361956233                     1100                           15                            
-2124496325                    800                            24                            
-1735517123                    600                            12                            
-1231165516                    800                            13                            
-435974889                     700                            13                            
769841423                      1100                           11                            
921801429                      1200                           17                            
1211184953                     1600                           19                            
1693405137                     701                            11                            
-1875430764                    1400                           20                            
-1716350154                    501                            17                            
-1228152307                    1999                           15                            
966895563                      800                            14                            
1468262416                     1301                           15                            
-69124563                      901                            12                            
1926659957                     600                            11                            
-851737239                     1300                           17                            
-1192412448                    800                            13                            
1858834521                     899                            13                            
-791737560                     901                            18                            
-888454350                     700                            15                            
1277302207                     600                            13                            
-310541279                     701                            13                            
1514705461                     800                            7                             
1827543785                     700                            13                            
1719328328                     700                            19                            
1993137895                     1101                           14                            
-1019327965                    899                            18                            
598431710                      700                            12                            
-160081223                     1300                           16                            
-1707598467                    600                            14                            
-1067551143                    1900                           8                             
