Элемент массива                Время в миллисекундах          Количество операций
-2093135540                    4899                           17                            
1412469472                     1200                           6                             
1809201885                     2601                           9                             
753082190                      4299                           12                            
1770556422                     1100                           7                             
-1322448875                    900                            11                            
1596858027                     900                            7                             
2135624538                     3600                           7                             
-699943119                     3700                           12                            
702088023                      1101                           7                             
1914010980                     800                            9                             
-574899100                     1000                           10                            
1536751450                     1000                           6                             
-1428040124                    1000                           9                             
-469918777                     5000                           11                            
805925816                      1200                           8                             
736127141                      800                            9                             
2095888741                     900                            6                             
-1642402790                    1400                           10                            
1091773841                     900                            9                             
1322201345                     800                            9                             
2048371785                     1399                           5                             
-1646996094                    2999                           11                            
383766496                      1500                           10                            
1988463004                     1700                           8                             
-1327123471                    1100                           12                            
-811983724                     1901                           9                             
-1250690740                    14100                          12                            
1413966745                     1600                           6                             
373693294                      2901                           11                            
792379691                      6300                           9                             
-103703430                     1499                           12                            
-1618816000                    1400                           11                            
1631361737                     1500                           7                             
-207526533                     1299                           15                            
687145869                      1400                           10                            
-94252298                      1400                           12                            
-1297446878                    2000                           11                            
1188270694                     1399                           10                            
1522882544                     1200                           8                             
470932013                      8199                           14                            
-1860733157                    1600                           13                            
1640066318                     1301                           7                             
-1424496046                    7500                           14                            
2106392221                     1400                           5                             
-178656650                     1300                           12                            
2061676970                     1600                           4                             
-279873806                     1200                           10                            
2034835827                     1200                           8                             
2145844220                     1200                           3                             
-2010642531                    1499                           14                            
-165615076                     7699                           15                            
-604228535                     1800                           9                             
1771708064                     1501                           12                            
1839530692                     1101                           7                             
881027314                      9000                           10                            
1004801176                     1200                           10                            
-1137418524                    1400                           7                             
1942513167                     1501                           9                             
1610195567                     1101                           9                             
-1342997910                    1299                           9                             
-656095876                     1899                           13                            
1060993875                     1200                           9                             
1037216937                     1101                           10                            
1210947155                     1200                           9                             
874627120                      1600                           6                             
-1964338083                    1800                           14                            
-755961259                     1100                           6                             
-1080853855                    1400                           6                             
-2143963898                    1300                           16                            
1865288009                     1400                           8                             
-760089456                     1201                           7                             
-2053645358                    1100                           13                            
-1319165025                    1600                           12                            
-2118367211                    1200                           17                            
1726604508                     1700                           12                            
1682912326                     6300                           9                             
1770453217                     1200                           9                             
-728315536                     1301                           6                             
712006504                      1099                           8                             
-1731561675                    1300                           9                             
1687550166                     1100                           5                             
700251864                      1500                           10                            
-204755565                     9000                           16                            
1198882530                     1499                           12                            
-1952685357                    1300                           13                            
1102417379                     1300                           10                            
442280115                      1500                           8                             
1580313104                     1499                           8                             
-494062628                     1401                           11                            
1042246875                     7901                           15                            
2118432017                     5300                           10                            
1954045109                     21701                          12                            
-1266635962                    1499                           10                            
-1134578544                    1400                           8                             
1448912184                     10399                          16                            
1180194797                     5000                           11                            
998765982                      1200                           9                             
-1199948950                    5200                           11                            
-1338854033                    6699                           17                            
1826364721                     8500                           14                            
-1386864183                    1400                           13                            
-227521091                     5001                           8                             
2020245378                     5800                           9                             
-728313656                     5501                           10                            
-1549745044                    1400                           11                            
-1973282975                    1301                           12                            
-1505630520                    1300                           10                            
-1124577411                    1299                           8                             
2019356045                     1500                           8                             
-1234922880                    7100                           12                            
-542490526                     1601                           9                             
1205889937                     1600                           9                             
2032358522                     1200                           7                             
-775483471                     1299                           7                             
1016413120                     1500                           13                            
-1946909453                    1400                           14                            
72408553                       1701                           12                            
-576672954                     1300                           14                            
470372201                      1400                           10                            
-457576274                     1200                           9                             
1411833952                     1300                           11                            
-1087421471                    1299                           7                             
-1400263174                    6299                           13                            
-995433566                     1600                           13                            
847301335                      2099                           10                            
-820591027                     1200                           8                             
-2019948689                    1500                           17                            
1856164982                     1299                           6                             
820711835                      1200                           12                            
1848173194                     1100                           7                             
-1108960607                    1501                           8                             
-1067808564                    1000                           6                             
-1757313676                    1400                           10                            
1850375721                     1100                           7                             
-484615409                     1401                           12                            
511394230                      1400                           11                            
-1262913270                    1300                           12                            
-510822438                     6901                           14                            
101527264                      1000                           10                            
-816596119                     5200                           12                            
-291612540                     4200                           13                            
-739602365                     800                            9                             
1198295336                     1100                           8                             
-894372816                     699                            12                            
55416689                       1000                           12                            
779127826                      1100                           12                            
-1342643094                    900                            8                             
-1761087837                    800                            12                            
-647423765                     1000                           12                            
1920656213                     900                            5                             
-2118852259                    9000                           19                            
87876376                       1000                           12                            
-1727695367                    899                            10                            
-1579970040                    5900                           16                            
270732787                      1000                           13                            
2593880                        800                            15                            
420202037                      2099                           13                            
-624370193                     6300                           14                            
-55076714                      1200                           12                            
-1430537323                    1099                           12                            
610061998                      1200                           8                             
1450780070                     1100                           8                             
-677678156                     1200                           6                             
1521991579                     5901                           10                            
717077263                      6100                           14                            
1361317110                     1100                           15                            
-1384141443                    1301                           11                            
-1121244346                    4899                           11                            
1735705856                     9800                           12                            
1097964137                     1400                           10                            
300417003                      1200                           12                            
1900648243                     1101                           8                             
-721523253                     1000                           7                             
-912975329                     1000                           11                            
373284098                      700                            10                            
1813379770                     4900                           12                            
-1062588861                    1000                           15                            
893049314                      3600                           11                            
964524889                      800                            11                            
2143131675                     800                            4                             
-193478431                     800                            16                            
-1366486408                    900                            9                             
1447732952                     4800                           15                            
-617023498                     901                            10                            
394029615                      3800                           13                            
-1131572679                    1000                           11                            
-1763485246                    4200                           17                            
1698473984                     800                            6                             
-1750473880                    5500                           16                            
180813024                      900                            9                             
1784046069                     800                            10                            
-1880444684                    4400                           18                            
-1857631392                    1000                           13                            
-147737435                     1200                           16                            
-824928656                     1100                           12                            
-196020282                     1300                           17                            
1124254113                     1400                           9                             
1280688266                     1200                           7                             
880763158                      1299                           9                             
1825570334                     1501                           8                             
-1618047018                    1300                           13                            
-730577931                     1200                           10                            
-68181839                      1301                           14                            
-146229756                     1100                           16                            
155387245                      1200                           12                            
-602383490                     1501                           8                             
-1615190216                    1300                           13                            
-895001385                     1300                           13                            
-1343788681                    1300                           10                            
538473226                      1400                           11                            
-255371180                     1200                           5                             
1514967427                     1499                           10                            
-28137775                      1299                           17                            
839805208                      1899                           8                             
916958240                      1200                           15                            
-1942677006                    6799                           17                            
61904521                       1100                           16                            
-673311910                     1400                           11                            
1197939248                     1101                           9                             
-271316030                     3100                           6                             
1827081337                     1400                           7                             
-465110905                     1300                           7                             
-771903275                     6900                           13                            
43666489                       24600                          17                            
-64189896                      8899                           15                            
687297391                      5299                           12                            
-1281631074                    1699                           12                            
1868667765                     1200                           7                             
563919923                      5000                           11                            
1801696079                     1300                           9                             
-1762319328                    1300                           15                            
379625191                      1200                           11                            
1974805782                     1301                           7                             
1174916454                     1400                           13                            
-1517003782                    1500                           15                            
-1582260478                    1099                           14                            
275159920                      1300                           14                            
-51751992                      1301                           7                             
1517328147                     1500                           9                             
1925508142                     1300                           5                             
-1559331435                    1299                           17                            
-7936655                       1299                           10                            
-1431677147                    1099                           14                            
683613955                      1100                           12                            
-1821065274                    1400                           16                            
-388076644                     1099                           8                             
-1580416641                    8701                           18                            
1493870515                     1899                           13                            
941242511                      1400                           15                            
-1449166763                    1099                           15                            
577166342                      1400                           6                             
-178429754                     1100                           11                            
-2064330896                    1301                           16                            
1566407245                     1400                           10                            
-426961284                     1101                           11                            
1726093581                     1500                           13                            
