Элемент массива                Время в миллисекундах          Количество операций
-182916792                     900                            20                            
900218329                      800                            13                            
-1237090667                    1000                           16                            
-1503864950                    800                            13                            
994265251                      600                            17                            
-574837706                     1100                           20                            
-73188558                      1000                           19                            
636916929                      600                            15                            
-1815411811                    699                            13                            
960941041                      700                            13                            
-1444619051                    600                            15                            
-1666026112                    1000                           17                            
-1488566915                    800                            15                            
-1618047018                    1000                           18                            
1639119831                     1300                           28                            
-602166218                     800                            15                            
1654971150                     901                            21                            
1613717889                     701                            18                            
-93529022                      700                            16                            
338899494                      700                            16                            
1159582974                     499                            18                            
1376989236                     10401                          21                            
543318581                      1099                           21                            
1712110076                     1000                           24                            
2025888787                     899                            19                            
2071343396                     700                            21                            
-788159776                     1000                           13                            
1650101951                     1000                           23                            
-160071366                     1099                           19                            
1161904951                     1000                           16                            
-1946554642                    1301                           10                            
-1711368962                    1000                           17                            
-552438037                     700                            16                            
-248094030                     1200                           20                            
598332148                      12801                          25                            
1997992371                     899                            21                            
-1756124548                    701                            15                            
-794373566                     1000                           12                            
-214628167                     600                            29                            
-860952840                     600                            10                            
403652451                      499                            16                            
1898558699                     600                            22                            
1205889937                     600                            19                            
-496016731                     600                            20                            
-1502103873                    400                            16                            
1734873003                     899                            23                            
1278877993                     600                            20                            
222078438                      800                            17                            
-417212470                     500                            19                            
-1633858785                    600                            17                            
-831084139                     800                            18                            
-742018712                     1000                           16                            
1659729888                     600                            18                            
-1206509381                    899                            17                            
55644474                       1200                           23                            
-998081913                     600                            12                            
-1492388491                    900                            12                            
-1665440599                    500                            18                            
-1756976622                    400                            13                            
-84916837                      500                            22                            
1729213415                     500                            19                            
-186112108                     800                            18                            
-244594101                     800                            24                            
1538610396                     900                            17                            
-2108009017                    1100                           9                             
-1532046177                    800                            15                            
2044080395                     1000                           26                            
1726604508                     600                            23                            
938049391                      900                            14                            
-11855737                      700                            20                            
-1310120061                    600                            21                            
-1134578544                    800                            18                            
1407443698                     899                            23                            
-1675943629                    800                            16                            
1757124336                     700                            22                            
-2120255890                    800                            15                            
-219608099                     501                            24                            
143466579                      700                            25                            
844166998                      1000                           15                            
190862814                      600                            8                             
1547120027                     899                            19                            
-1132337494                    600                            17                            
-144550752                     800                            18                            
-737242299                     900                            12                            
1008278232                     800                            14                            
1422288468                     499                            18                            
-1704457480                    600                            18                            
1379039704                     1000                           19                            
-768778795                     700                            16                            
957699214                      901                            18                            
934714586                      701                            19                            
-202236003                     700                            17                            
1281576935                     700                            19                            
-635483689                     701                            17                            
-1836681781                    600                            19                            
1383236702                     700                            18                            
-567183740                     700                            24                            
-1452031794                    499                            20                            
-1097112165                    901                            19                            
976891239                      700                            16                            
1274728769                     500                            17                            
113277506                      1501                           22                            
-926999021                     899                            12                            
-1039625812                    800                            14                            
1365255366                     700                            18                            
-1020157161                    600                            20                            
-516688706                     699                            18                            
201695692                      499                            13                            
1185879296                     500                            21                            
1908287280                     500                            20                            
-1839922686                    501                            19                            
-1106500307                    501                            18                            
156219797                      701                            21                            
-1556307416                    1700                           12                            
1368216771                     500                            15                            
563919923                      900                            18                            
-1170737666                    600                            16                            
-316322593                     1400                           14                            
-1376200506                    899                            19                            
-169767081                     800                            19                            
1243211363                     1000                           15                            
185933981                      1200                           27                            
454098849                      900                            15                            
1366857848                     700                            21                            
773950347                      1000                           13                            
1726604508                     1101                           23                            
-267907579                     901                            16                            
341556276                      1200                           17                            
-326003804                     900                            22                            
-1352419128                    900                            19                            
1952941898                     1100                           20                            
-710886473                     900                            15                            
1330835184                     800                            17                            
-997683942                     901                            9                             
-254502704                     499                            24                            
691743842                      900                            14                            
1954451930                     500                            23                            
-54221922                      800                            22                            
-2135714592                    800                            14                            
1641513260                     800                            18                            
823456024                      800                            15                            
-1666026112                    800                            17                            
1128225024                     800                            17                            
812884264                      700                            17                            
1060246511                     1000                           15                            
-335120415                     701                            20                            
139943284                      800                            20                            
-608974029                     600                            13                            
1544132795                     701                            17                            
-1727252765                    700                            15                            
-41164624                      1000                           24                            
35562702                       900                            22                            
-1537181469                    899                            18                            
367587549                      600                            16                            
-662548035                     900                            13                            
-477369197                     700                            17                            
1273326914                     1000                           19                            
-635483689                     600                            17                            
-2040735510                    901                            16                            
-697316942                     901                            14                            
-1454783197                    701                            21                            
622329233                      800                            17                            
-1427984391                    800                            13                            
-1543050103                    800                            15                            
1353695857                     1000                           17                            
380823440                      700                            18                            
-1964694851                    1100                           13                            
868382342                      900                            19                            
109705951                      700                            21                            
377339789                      700                            21                            
2048148947                     600                            26                            
-111685470                     800                            18                            
-1489401532                    1101                           13                            
-713707749                     600                            16                            
-722535309                     701                            19                            
483555543                      800                            18                            
362182011                      800                            18                            
-1733872635                    600                            12                            
420879651                      1299                           13                            
1985253254                     1000                           18                            
1330133937                     900                            20                            
1633280678                     2099                           21                            
-2080192445                    1500                           15                            
1963037994                     800                            20                            
-2044197115                    700                            11                            
-1846978617                    800                            13                            
-889220083                     1000                           15                            
-575653175                     1499                           18                            
847651366                      1000                           17                            
1322201345                     900                            15                            
-2114380811                    900                            13                            
-407503089                     700                            15                            
1518405242                     901                            15                            
1954198732                     600                            23                            
-118812043                     800                            24                            
1682454781                     800                            22                            
230247685                      1000                           14                            
897166287                      1299                           14                            
-591047800                     1200                           14                            
1499096498                     800                            22                            
122290888                      699                            18                            
178776360                      800                            21                            
773237647                      800                            22                            
1795545389                     899                            22                            
-1062506099                    600                            10                            
131849482                      600                            23                            
-1527332227                    1200                           19                            
1365511824                     1000                           21                            
-164542471                     500                            14                            
-2048243884                    800                            12                            
1401243877                     899                            20                            
-414781353                     700                            19                            
-1321502117                    900                            18                            
-794832586                     900                            13                            
-1428040124                    699                            17                            
-1472680954                    1200                           17                            
-593413274                     600                            14                            
627178774                      700                            10                            
476695648                      900                            20                            
-355430886                     700                            21                            
-1709814708                    699                            19                            
-1983092408                    901                            16                            
918704699                      700                            17                            
-1905649036                    800                            16                            
719662432                      800                            14                            
-396836361                     600                            15                            
307420990                      700                            14                            
-1529642860                    500                            19                            
-94252298                      1001                           17                            
-1254311659                    1200                           17                            
-1583362997                    800                            21                            
-440580351                     1000                           14                            
1333822110                     800                            22                            
-1733852475                    500                            13                            
-1030771308                    699                            15                            
1072576206                     1000                           17                            
-1645244422                    701                            11                            
